Budget,ActorPopularity,Genre,Rating
44942603,0.32,Crime,4.0
127456926,0.8,Sci-Fi,5.9
53337464,0.7,Animation,4.0
44345092,0.46,Comedy,4.0
83375074,0.79,Animation,5.5
49587039,0.61,Thriller,4.0
165716440,0.77,Action,5.6
22449461,0.95,Drama,5.3
65992979,0.37,Comedy,4.0
141006778,0.85,Fantasy,6.2
63507767,0.96,Animation,5.6
108699444,0.86,Animation,6.0
45745446,0.43,Romance,4.0
60587988,0.83,Crime,6.0
117112365,0.56,Sci-Fi,4.2
17915531,0.55,Romance,4.0
26549181,0.94,Horror,4.9
240450686,0.42,Fantasy,5.1
39021757,0.56,Drama,4.6
122363534,0.68,Crime,5.4
202969247,0.86,Action,7.1
55935572,0.35,Thriller,4.0
262713644,0.51,Fantasy,5.6
106282117,0.61,Thriller,4.0
289981457,0.68,Sci-Fi,6.2
185006828,0.91,Fantasy,6.4
127133144,0.65,Sci-Fi,4.2
138867430,0.4,Action,4.0
86661351,0.71,Crime,4.7
195641184,0.66,Fantasy,6.2
141499497,0.76,Action,5.6
28789893,0.74,Horror,4.0
41227574,0.61,Thriller,4.3
9837869,0.96,Indie,5.5
58564437,0.89,Animation,5.1
98137358,0.71,Crime,4.5
44197113,0.95,Drama,6.5
254029959,0.63,Action,5.4
27636923,0.46,Romance,4.0
91141184,0.36,Fantasy,4.0
86498611,0.82,Comedy,4.5
104325930,0.48,Adventure,4.3
48427073,0.93,Thriller,5.6
7749509,0.78,Indie,4.0
117225156,0.55,Crime,5.1
92481817,0.47,Adventure,4.0
203541906,0.7,Action,5.0
2975475,0.46,Indie,4.0
11755156,0.65,Romance,4.0
117508755,0.67,Adventure,5.2
224675636,0.62,Fantasy,6.0
45556386,0.36,Thriller,4.0
35425880,0.58,Romance,4.0
132837693,0.34,Action,4.0
48374088,0.43,Comedy,4.0
36311997,0.42,Drama,4.0
74476001,0.85,Comedy,5.7
21789850,0.74,Comedy,4.1
130070070,0.93,Action,6.8
35273985,0.63,Drama,4.0
27869910,0.41,Thriller,4.0
55594951,0.93,Thriller,5.8
17193775,0.77,Horror,4.1
160639863,0.41,Animation,4.0
112726345,0.81,Action,4.8
197986942,0.64,Fantasy,5.9
11817123,0.95,Drama,4.8
12598388,0.7,Drama,4.5
198387674,0.38,Sci-Fi,4.8
245402400,0.7,Sci-Fi,6.4
108231132,0.7,Thriller,4.7
9853801,0.76,Horror,4.0
16280369,0.39,Horror,4.0
144873168,0.93,Adventure,7.1
326040164,0.72,Action,7.3
24832887,0.67,Comedy,4.0
31421586,0.9,Drama,6.0
26125180,0.41,Romance,4.0
11150790,0.72,Indie,4.7
100993218,0.31,Crime,4.0
25259631,0.37,Horror,4.0
6873143,0.91,Horror,4.7
26276979,0.49,Drama,4.0
20663184,0.77,Romance,4.8
161139270,0.47,Animation,5.0
129552361,0.73,Action,5.8
81903577,0.53,Action,4.0
8421791,0.8,Horror,4.0
95283645,0.31,Thriller,4.0
6001431,0.67,Indie,4.1
218317326,0.4,Fantasy,4.0
15235674,0.91,Horror,4.9
272097368,0.44,Action,4.8
62469942,0.83,Comedy,5.5
103303777,0.81,Thriller,5.9
133621235,0.96,Sci-Fi,6.9
23326769,0.42,Thriller,4.0
109913412,0.89,Thriller,6.1
8341793,0.84,Horror,4.0
332699780,0.45,Action,6.4
153860718,0.51,Adventure,4.9
149840585,0.32,Sci-Fi,4.0
25696734,0.89,Romance,5.7
14782508,0.74,Horror,4.0
118892365,0.94,Animation,5.7
8991741,0.69,Horror,4.0
138198175,0.71,Action,5.0
36285897,0.71,Romance,4.1
97388337,0.43,Thriller,4.0
20226999,0.65,Thriller,4.0
126560259,0.94,Crime,6.8
187769957,0.59,Sci-Fi,5.8
48819251,0.51,Romance,4.0
11077143,0.64,Indie,4.0
34004632,0.77,Romance,4.5
202862703,0.75,Sci-Fi,5.9
6839388,0.72,Indie,4.0
30108968,0.51,Animation,4.0
232849474,0.75,Fantasy,6.2
117365033,0.65,Adventure,5.2
6693898,0.75,Indie,4.0
114951883,0.72,Crime,4.6
270602212,0.51,Sci-Fi,6.0
9639160,0.33,Drama,4.0
276289786,0.35,Fantasy,4.6
107265240,0.43,Crime,4.0
167280998,0.47,Adventure,4.6
137223618,0.83,Action,5.4
18379778,0.62,Indie,4.0
76265269,0.39,Comedy,4.0
115174021,0.95,Animation,6.9
263078632,0.91,Fantasy,7.3
149699022,0.91,Animation,6.8
180814681,0.48,Adventure,4.1
67220099,0.82,Crime,5.3
62111036,0.49,Crime,4.0
10868298,0.48,Horror,4.0
51629900,0.39,Animation,4.0
6127293,0.78,Indie,4.0
64410148,0.67,Thriller,4.0
202781417,0.56,Sci-Fi,5.6
1655383,0.88,Indie,5.0
84019136,0.3,Thriller,4.0
76240084,0.67,Thriller,4.6
129200404,0.63,Fantasy,4.3
67791291,0.56,Adventure,4.0
117197979,0.41,Thriller,4.0
49758957,0.66,Drama,5.0
221502819,0.75,Fantasy,5.5
38213276,0.89,Thriller,4.4
15720614,0.52,Horror,4.0
32442729,0.49,Romance,4.0
53859311,0.87,Thriller,4.9
19099899,0.34,Indie,4.0
264521727,0.35,Sci-Fi,5.4
96659103,0.95,Action,5.5
161809649,0.46,Action,4.2
44254705,0.62,Comedy,4.0
18260138,0.71,Romance,4.7
4843085,0.83,Indie,4.0
6627192,0.69,Horror,4.0
251824027,0.92,Fantasy,7.1
